Source Row,G1 Price Model,G2 Equivalent
5,CHC 1-1,CHC 1-10
6,CHC 1-2,CHC 1-20
7,CHC 1-3,CHC 1-30
8,CHC 1-4,CHC 1-40
9,CHC 1-5,CHC 1-50
10,CHC 1-6,CHC 1-60
11,CHC 1-7,CHC 1-70
12,CHC 1-8,CHC 1-80
13,CHC 1-9,CHC 1-90
14,CHC 1-10,CHC 1-100
15,CHC 1-11,CHC 1-110
16,CHC 1-12,CHC 1-120
17,CHC 1-13,CHC 1-130
18,CHC 1-14,CHC 1-140
19,CHC 1-15,CHC 1-150
20,CHC 1-16,CHC 1-160
21,CHC 1-17,CHC 1-170
22,CHC 1-18,CHC 1-180
23,CHC 1-19,CHC 1-190
24,CHC 1-20,CHC 1-200
25,CHC 1-21,CHC 1-210
26,CHC 1-22,CHC 1-220
27,CHC 1-23,CHC 1-230
28,CHC 1-24,CHC 1-240
29,CHC 1-25,CHC 1-250
30,CHC 1-26,CHC 1-260
31,CHC 1-27,CHC 1-270
32,CHC 1-28,CHC 1-280
33,CHC 1-29,CHC 1-290
34,CHC 1-30,CHC 1-300
35,CHC 1-31,CHC 1-310
36,CHC 1-32,CHC 1-320
37,CHC 1-33,CHC 1-330
38,CHC 1-34,CHC 1-340
39,CHC 1-35,CHC 1-350
40,CHC 1-36,CHC 1-360
41,CHC 2-1,CHC 2-10
42,CHC 2-2,CHC 2-20
43,CHC 2-3,CHC 2-30
44,CHC 2-4,CHC 2-40
45,CHC 2-5,CHC 2-50
46,CHC 2-6,CHC 2-60
47,CHC 2-7,CHC 2-70
48,CHC 2-8,CHC 2-80
49,CHC 2-9,CHC 2-90
50,CHC 2-10,CHC 2-100
51,CHC 2-11,CHC 2-110
52,CHC 2-12,CHC 2-120
53,CHC 2-13,CHC 2-130
54,CHC 2-14,CHC 2-140
55,CHC 2-15,CHC 2-150
56,CHC 2-16,CHC 2-160
57,CHC 2-17,CHC 2-170
58,CHC 2-18,CHC 2-180
59,CHC 2-19,CHC 2-190
60,CHC 2-20,CHC 2-200
61,CHC 2-21,CHC 2-210
62,CHC 2-22,CHC 2-220
63,CHC 2-23,CHC 2-230
64,CHC 2-24,CHC 2-240
65,CHC 2-25,CHC 2-250
